id,name,slug,summary,rating,rating_count,total_rating,total_rating_count,cover_url,genres,platforms,companies
916,Toonstruck,toonstruck,"Toonstruck is an adventure game released in 1996 in which, although all the imagery is drawn and scanned into the game, the protagonist Drew Blanc (played and voiced by Christopher Lloyd) is an actual video-captured representation of the actor (the name is a pun, since the character has ""drawn a blank"" on coming up with a new idea for a character). Drew's sidekick, crudely named Flux Wildly, is a drawn character voiced by Dan Castellaneta. Toonstruck also features scan-line compressed FMV and was also one of the first video games to include stock music from APM Music, notably the classic ""Spooky Scherzo"" by Sam Fonteyn and ""Lonely Hearts Club A"" by David Bell.",88.45818682539836,43,88.45818682539836,43,co71r2.jpg,"[""Point-and-click"", ""Adventure""]","[""PC (Microsoft Windows)"", ""Mac"", ""DOS""]","[""Burst Studios"", ""Virgin Interactive Entertainment (Europe) Ltd."", ""Virgin Interactive Entertainment, Inc.""]"
25,X-COM: Terror From the Deep,x-com-terror-from-the-deep,"The war continues...
X-COM: UFO Defense brought you to a galactic battlefield. X-COM: Terror from the Deep brings the alien terror into a totally new dimension. Seeking to take advantage of a weakened Earth, X-COM's deep space foes unexpectedly change strategy and launch a powerful second front against planet Earth. In the dark depths of vast oceans, long sleeping forces are awakened by reanimation signals sent out across the galactic silence by their interstellar brothers and sisters. Slowly but surely, an army of hibernating alien sea creatures awakens. Your combat now extends to the strange new worlds of the deep where superior alien technologies threaten the very survival of your planet earth.",76.92216031474902,43,76.92216031474902,43,co2abe.jpg,"[""Strategy"", ""Turn-based strategy (TBS)"", ""Tactical""]","[""PC (Microsoft Windows)"", ""DOS"", ""PlayStation""]","[""Hasbro Interactive"", ""MicroProse Software, Inc."", ""2K Games""]"
266690,Paper Mario: The Thousand-Year Door,paper-mario-the-thousand-year-door--1,"A remake of the second game in the Paper Mario series, originally released for the Nintendo GameCube.

Turn the page and join Mario and friends in an RPG adventure to discover the legendary treasure behind the ancient Thousand-Year Door. Will Mario complete his papery quest, or will he crumple under the pressure?",96.54924529236293,37,94.57462264618144,42,cob9xy.jpg,"[""Role-playing (RPG)"", ""Adventure""]","[""Nintendo Switch""]","[""Nintendo"", ""Intelligent Systems"", ""Nintendo EPD Production Group No. 6""]"
221823,Assassin's Creed Brotherhood,assassins-creed-brotherhood--1,"A remaster of Assassin's Creed Brotherhood included with Assassin's Creed: The Ezio Collection.

All the single-player add-on content (Copernicus Conspiracy, The Da Vinci Disappearance) is included and multiplayer is removed.",89.65760761752732,42,89.65760761752732,42,co5j8z.jpg,"[""Adventure""]","[""PlayStation 4"", ""Xbox One"", ""Nintendo Switch""]","[""Ubisoft Montreal"", ""Virtuos"", ""Ubisoft Entertainment""]"
197202,Escape the Backrooms,escape-the-backrooms,Explore the seemingly infinite expanse of eerily familiar levels in the backrooms based on the popular creepypasta lore. Each level features different ways to escape with danger along the way.,70.10360582165733,41,75.05180291082866,42,coc4vo.jpg,"[""Puzzle"", ""Simulator"", ""Adventure"", ""Indie""]","[""Xbox Series X|S"", ""PC (Microsoft Windows)"", ""PlayStation 5""]","[""Blackbird Interactive"", ""Fancy Games"", ""Secret Mode""]"
140781,Gartic Phone,gartic-phone,Gartic Phone is a game that uses the Gartic's Mechanics to the popular pen-and-paper game Telephone Pictionary.,80.06642530742525,42,80.06642530742525,42,cobw2s.jpg,"[""Quiz/Trivia""]","[""Web browser""]","[""Onrizon""]"
139078,Dyson Sphere Program,dyson-sphere-program,"As an engineer of Dyson Sphere Program, you will go to an alien galaxy building “Dyson Sphere”. Collecting resources, plan and designing production lines, gradually create a full automated factory. Develop your factory from a small workshop to a huge cross-galaxy Industrial empire.",80.44456937298948,42,80.44456937298948,42,coar0s.jpg,"[""Simulator"", ""Strategy"", ""Indie""]","[""PC (Microsoft Windows)""]","[""Youthcat Studio"", ""Gamirror Games""]"
133305,Chorus,chorus,"Take control of Nara, once the Circle's deadliest warrior, now their most wanted fugitive, on a quest to destroy the dark cult that created her. Unlock devastating weapons and mind-bending abilities in Chorus, a true evolution of the space-combat shooter. Along with Forsaken, her sentient starfighter, explore ancient temples, engage in exhilarating zero-g combat, and venture beyond our waking reality.",69.01791424985782,35,71.79467141064319,42,coaq2p.jpg,"[""Shooter"", ""Adventure"", ""Indie"", ""Arcade""]","[""Google Stadia"", ""Xbox Series X|S"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""PlayStation 5"", ""Xbox One""]","[""Fishlabs"", ""Deep Silver""]"
115851,F.I.S.T.: Forged In Shadow Torch,f-dot-i-s-dot-t-forged-in-shadow-torch,"It is a metroidvania game that the player will play as a rabbit who can manipulate the big mech-arm on his back, exploring in a vivid diesel punk world and fighting against the evil robot army. There will be a vast world map for the player to explore to meet with friend NPCs and encounter enemies, discover items and weapons and seek for the answers for the secrets hidden behind.",61.71443472348747,36,74.27388402841041,42,co3ua0.jpg,"[""Platform"", ""Role-playing (RPG)"", ""Simulator"", ""Adventure"", ""Indie""]","[""Xbox Series X|S"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""PlayStation 5"", ""Xbox One"", ""Nintendo Switch""]","[""Bilibili Game"", ""TiGames""]"
114415,SteamWorld Quest: Hand of Gilgamech,steamworld-quest-hand-of-gilgamech,"SteamWorld Quest is the roleplaying card game you’ve been waiting for! Lead a party of aspiring heroes through a hand-drawn world and build, craft and upgrade your party’s decks in order to stop an ancient menace…",80.68221725499686,35,80.26968005606986,42,co1quz.jpg,"[""Role-playing (RPG)"", ""Strategy"", ""Turn-based strategy (TBS)"", ""Adventure""]","[""Google Stadia"", ""Linux"", ""PC (Microsoft Windows)"", ""iOS"", ""Mac"", ""Nintendo Switch""]","[""Thunderful"", ""Image & Form""]"
109277,Samurai Shodown,samurai-shodown--2,"""A brand new title from SNK! A new Samurai Shodown is on the horizon!

Since its birth in 1993, the Samurai Shodown series has been known as the premier weapon based versus fighting games, and was essential in cultivating the weapon based fighting game genre. As the first new release in the series in more than 10 years, Samurai Shodown is aiming to yet again push boundaries and deliver some serious samurai action!

Developed using Unreal Engine 4 and utilizing a unique brushstroke graphical style to match the Japanese roots of the series, Haohmaru, Nakoruru, Galford and a whole cast of other popular characters will battle once again for victory!""",73.23557765213371,35,77.260645968924,42,co1m9a.jpg,"[""Fighting""]","[""Arcade"", ""Google Stadia"", ""Xbox Series X|S"", ""PlayStation 4"", ""Android"", ""PC (Microsoft Windows)"", ""iOS"", ""Xbox One"", ""Nintendo Switch""]","[""SNK"", ""Athlon Games"", ""Safari Games""]"
89594,Monster Sanctuary,monster-sanctuary,"A pixel art monster collecting game featuring sideview visuals, metroidvania like exploration and challenging turn based combat.",81.04719724788939,41,83.0235986239447,42,co1q3q.jpg,"[""Platform"", ""Role-playing (RPG)"", ""Strategy"", ""Turn-based strategy (TBS)"", ""Adventure"", ""Indie""]","[""PlayStation 4"", ""Linux"", ""PC (Microsoft Windows)"", ""Mac"", ""Xbox One"", ""Nintendo Switch""]","[""Moi Rai Games"", ""Team17""]"
88970,Final Fantasy IX,final-fantasy-ix--1,"The mobile edition of Final Fantasy IX brings high-resolution character models, HD cutscenes and an interface adapted for touchscreen play. It includes modern features such as autosave, gameplay boosters (speed-up, max stats, no encounters) and achievement support. While it mirrors the content of the console and PC versions, it lacks controller compatibility and relies on on-screen controls, making it ideal for portable play but less suited to traditional input methods.",88.052630391161,42,88.052630391161,42,co9okj.jpg,"[""Role-playing (RPG)"", ""Adventure""]","[""Android"", ""iOS""]","[""Square Enix"", ""Square"", ""Guild Studio Inc."", ""Silicon Studio""]"
87983,What the Golf?,what-the-golf,"The golf game for people who hate golf. A silly physics-based golf parody where every golf course is a new surprising type of golf, some brilliant or hilarious, others so absurd they will make you go: What the golf!",73.04387931455528,39,80.35527299061098,42,co1rgr.jpg,"[""Puzzle"", ""Simulator"", ""Sport"", ""Adventure"", ""Indie"", ""Arcade""]","[""PlayStation 4"", ""Linux"", ""visionOS"", ""PC (Microsoft Windows)"", ""iOS"", ""PlayStation 5"", ""Mac"", ""Nintendo Switch""]","[""Triband"", ""The Label""]"
77234,Final Fantasy III,final-fantasy-iii--1,"Final Fantasy III is the third FF game for the Famicom. The turn-based battle engine has been improved: if the enemy is defeated, the next character will automatically switch to another enemy, and not hit the air, like in the previous two games.

The game itself is, like the previous games, a top-down RPG where your characters travel in the overworld, sometimes entering cities and dungeons to buy equipment, rest and fight random encounters and bosses with turn-based combat. Final Fantasy III also introduces various series staples, such as the Job system and the Moogle species.",70.00202327485471,42,70.00202327485471,42,co2127.jpg,"[""Role-playing (RPG)"", ""Adventure""]","[""Nintendo 3DS"", ""Wii"", ""Family Computer"", ""Wii U""]","[""Square"", ""Square Enix""]"
26769,Fire Emblem Warriors,fire-emblem-warriors,"""Clash with legions of soldiers and fierce monsters as Marth, Xander, Corrin, and other Fire Emblem heroes unleashing over-the-top-powerful Dynasty Warriors-style moves. Take direct control of known and original Fire Emblem characters, issue them strategic commands in the midst of battle, pair up heroes to unleash stunning attacks, and more. Unlock new playable heroes, each with their own unique moves, special attacks, weapon types, and voiced dialogue in this large-scale action game from the Hyrule Warriors team.""",63.66337536203389,31,71.01350586283513,42,co24h8.jpg,"[""Role-playing (RPG)"", ""Simulator"", ""Strategy"", ""Tactical"", ""Hack and slash/Beat 'em up""]","[""New Nintendo 3DS"", ""Nintendo Switch""]","[""Koei Tecmo Games"", ""Omega Force"", ""Team NINJA"", ""Nintendo"", ""Intelligent Systems""]"
24501,Burly Men at Sea,burly-men-at-sea,"Burly Men at Sea is a folktale about a trio of large, bearded fishermen who step away from the ordinary to seek adventure. Set in early 20th-century Scandinavia, the game's story branches through a series of encounters with creatures from folklore.",67.41453201862295,40,71.20726600931147,42,co2306.jpg,"[""Puzzle"", ""Role-playing (RPG)"", ""Adventure"", ""Indie""]","[""PlayStation 4"", ""Android"", ""PC (Microsoft Windows)"", ""iOS"", ""Mac"", ""PlayStation Vita"", ""Nintendo Switch""]","[""Plug In Digital"", ""Brain&Brain"", ""22nd Century Toys""]"
24417,Eastward,eastward,"Eastward is a beautifully detailed and charming adventure RPG, from Shanghai-based indie developers, Pixpil and published by Chucklefish.

Escape the tyrannical clutches of a subterranean society and join Eastward’s unlikely duo on an exciting adventure to the land above! Discover beautiful yet bizarre settlements and make new friends as you travel across the world by rail.

Inspired by 90s Japanese animation, the visual style of Eastward has been brought to life using a combination of a modern, innovative 3D lighting system and a rich retro-pixel artwork.",89.07832946901493,39,85.03916473450747,42,co3tul.jpg,"[""Role-playing (RPG)"", ""Simulator"", ""Adventure"", ""Indie""]","[""PC (Microsoft Windows)"", ""Mac"", ""Xbox One"", ""Nintendo Switch""]","[""Pixpil Studio"", ""Chucklefish Games""]"
21888,Castlevania: The Dracula X Chronicles,castlevania-the-dracula-x-chronicles,"Castlevania: The Dracula X Chronicles is an entirely new take at the best Castlevania game to never be released in the US, ""Castlevania: Rondo of Blood"". The Dracula X Chronicles brings this action/adventure franchise to the PSP system for the first time, complete with 3D graphics, enhanced gameplay and new music. Completing the Dracula X storyline, this game also includes an unlockable version of Symphony of the Night and players will also be able to unlock the original Rondo of Blood from the NEC PC Engine. Includes unlockable versions of the original ""Rondo of Blood"" and ""Symphony of the Night"" games, optimized for the PSP. Timeless side scrolling action through more than 10 gothic stages and additional hidden areas. Return to previously completed levels to find additional secrets.",80.4109711606887,39,81.37215224701102,42,co8t6b.jpg,"[""Platform"", ""Hack and slash/Beat 'em up""]","[""PlayStation Portable""]","[""Konami""]"
21842,Shin Megami Tensei: Persona,shin-megami-tensei-persona,"Persona is a philosophical game that takes place in a world close to our own. It is a departure from the typical swords and sorcery, and it delivers a tale of dreams, the purpose of life, and who we are as individuals. In Persona you have modern weapons like an Uzi and an AK-47. And instead of always fighting monsters, you are given the opportunity to talk your way through a confrontation. By talking things out, you can earn components of spells the more components you have, the more powerful your spells become.",76.73757655179963,41,83.36878827589982,42,co4ejn.jpg,"[""Role-playing (RPG)""]","[""PlayStation Portable""]","[""Atlus"", ""Ghostlight Ltd.""]"
21709,Naruto Shippuden: Ultimate Ninja Storm 3 Full Burst,naruto-shippuden-ultimate-ninja-storm-3-full-burst,"Naruto Shippuden: Ultimate Ninja Storm 3: Full Burst is the re-release of Naruto Shippuden: Ultimate Ninja Storm 3, which includes revamped visuals, all costumes previously available as, DLC minus the Naruto (Goku) and Sakura (Hello Kitty), a new character (Kabuto Yakushi sage mode), a new story chapter and a new Challenge Mode, which consists of 100 missions. Each mission has varying objectives that unlock various in-game items and HD illustrations. Also newly added is Decision Mode, which allows the player to choose one's fate; the player is given two options of fates to choose from. The player can choose from either Legend (hard) or Hero (easy).

Originally released in March 2013 on consoles to wide critical and fan acclaim, the most epic NARUTO game ever released has been given a thorough overhaul for its PC debut! Not least among the wealth of enhancements contained in NARUTO SHIPPUDEN Ultimate Ninja STORM 3 FULL BURST is the addition of the feverishly anticipated chapter in which Sasuke and Itachi take on Kabuto in a nail-biting confrontation.",80.8246791390151,38,79.66233956950755,42,co1u9a.jpg,"[""Fighting"", ""Adventure""]","[""PlayStation 3"", ""PlayStation 4"", ""PC (Microsoft Windows)"", ""Xbox 360"", ""Xbox One"", ""Nintendo Switch""]","[""CyberConnect2"", ""Namco Bandai Games"", ""Bandai Namco Entertainment""]"
11984,California Games,california-games,"Introducing the gnarliest bunch of games under the sun! Games invented on the beaches by sun-baked beach bums with a fondness for ripping, grinding, and shredding. With six radically thrilling events intended to bring you to the edge and blow your mind. And make adrenaline California's most plentiful natural resource.",60.1483037825627,41,75.07415189128135,42,co85io.jpg,"[""Sport""]","[""Commodore C64/128/MAX"", ""Wii""]","[""U.S. Gold"", ""Kixx"", ""Epyx"", ""Epyx"", ""Commodore Gaming""]"
